title,price
Pc Portable Schneider SCL141CTP / Quad Core / 2 Go,"319,000 DT"
PC PORTABLE SCHNEIDER SCL142ALM /  4GO /  32GO,"429,000 DT"
Pc Portable Lenovo V15 G4 AMN / AMD Dual Core / 8 Go,"725,000 DT"
Pc Portable Lenovo V15 G4 AMN / AMD Dual Core / 8 Go Avec SACOCHE Offert,"729,000 DT"
Pc Portable HP 15-FD0028NK / 4 Go / Gold / Windows 11,"769,000 DT"
Pc Portable HP 15-fd0030nk / 4 Go / Windows 11 / Gris,"769,000 DT"
Pc Portable HP 15-fd0029nk / Intel N100 / 4 Go / Windows 11 / Bleu,"769,000 DT"
Pc Portable Thomson N14I310 / i3-10110U / 8 Go / 256 Go SSD / Windows 11,"769,000 DT"
PC PORTABLE LENOVO IP1 / ATHLON SILVER 7120U / 8G 256SSD /  GREY /  Windows 11 AVEC SACOCHE OFFERT,"775,000 DT"
Pc Portable HP 15-fd0030nk / 4 Go / Windows 11 / Gris AVEC SACOCHE OFFERTE,"779,000 DT"
Pc Portable HP 15-FD0028NK / 4 Go / Gold / Windows 11 AVEC SACOCHE OFFERTE,"779,000 DT"
Pc Portable HP 15-fd0029nk / Intel N100 / 4 Go / Windows 11 / Bleu AVEC SACOCHE OFFERTE,"779,000 DT"
PC Portable Lenovo IdeaPad 1 15IGL7 / Intel Celeron N4020 / 8 Go / 256 Go SSD / Bleu / Windows 11 + Sacoche Lenovo T210 Offerte,"785,000 DT"
PC Portable Lenovo IdeaPad 1 15IGL7 / Intel Celeron N4020 / 8 Go / 256 Go SSD / Gris / Windows 11 + Sacoche Lenovo T210 Offerte,"785,000 DT"
Pc Portable Lenovo V15 G4 AMN / AMD Dual Core / 8 Go / WINDOWS 11 PRO,"785,000 DT"
Pc Portable HP 15-fd0029nk / Intel N100 / 8 Go / Windows 11 / Bleu,"789,000 DT"
Pc Portable HP 15-fd0030nk / 8 Go / Windows 11 / Gris,"789,000 DT"
PC PORTABLE HP 15-FD0038NK / INTEL N100 / 4 GO / WINDOWS 11,"789,000 DT"
Pc Portable HP 15-FD0028NK / 8 Go / Gold / Windows 11,"789,000 DT"
Pc Portable HP 15-fd0029nk / Intel N100 / 8 Go / Windows 11 / Bleu AVEC SACOCHE OFFERTE,"799,000 DT"
PC PORTABLE HP 15-FD0038NK / INTEL N100 / 4 GO / WINDOWS 11 + SACOCHE OFFERTE,"799,000 DT"
Pc Portable HP 15-FD0028NK / 8 Go / Gold / Windows 11 AVEC SACOCHE OFFERTE,"799,000 DT"
"Pc Portable HP 15-fd0030nk / 8 Go / Windows 11 / Gris Avec Sac pour Pc Portable 15.6"" Noir","799,000 DT"
Pc Portable HP 15-fd0029nk / Intel N100 / 4 Go / Windows 11 / Bleu + Sac à dos HP Offert,"809,000 DT"
PC PORTABLE HP 15-FD0038NK / INTEL N100 / 8 GO / WINDOWS 11,"809,000 DT"
PC PORTABLE HP 15-FD0038NK / INTEL N100 / 8 GO / WINDOWS 11 + SACOCHE OFFERTE,"819,000 DT"
Pc Portable HP 15-FD0028NK / 16 Go / Gold / Windows 11,"829,000 DT"
Pc Portable HP 15-fd0029nk / Intel N100 / 16 Go / Windows 11 / Bleu,"829,000 DT"
Pc Portable HP 15-fd0030nk / 16 Go / Windows 11 / Gris,"829,000 DT"
"Pc Portable HP 15-fd0030nk / 16 Go / Windows 11 / Gris Avec Sac pour Pc Portable 15.6"" Noir","839,000 DT"
Pc Portable HP 15-fd0029nk / Intel N100 / 16 Go / Windows 11 / Bleu AVEC SACOCHE OFFERTE,"839,000 DT"
Pc Portable HP 15-FD0028NK / 16 Go / Gold / Windows 11 AVEC SACOCHE OFFERTE,"839,000 DT"
PC PORTABLE HP 15-FD0038NK / INTEL N100 / 16 GO / WINDOWS 11,"849,000 DT"
PC PORTABLE HP 15-FD0038NK / INTEL N100 / 16 GO / WINDOWS 11 + SACOCHE OFFERTE,"859,000 DT"
PC Portable HP 15-fc0020nk / Ryzen 3 7320U / 4 Go / 256 Go SSD / Bleu / Windows 11,"869,000 DT"
Pc Portable HP 15-fd0029nk / Intel N100 / 8 Go / Windows 11 / Bleu + SAC À DOS HP OFFERT,"869,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 4 Go / 256 Go SSD / Noir,"869,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 4 Go / 256 Go SSD / Noir Avec SACOCHE Offert,"879,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 8 Go / 256 Go SSD / Noir,"885,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 8 Go / 256 Go SSD / Noir Avec SACOCHE Offert,"899,000 DT"
Pc Portable HP 15-fd0029nk / Intel N100 / 16 Go / Windows 11 / Bleu+ SAC À DOS HP OFFERT,"909,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 12 Go / 256 Go SSD / Noir,"925,000 DT"
"Pc Portable DELL Vostro 3520 / Écran 15,6"" HD / 4 Go / Noir","929,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 12 Go / 256 Go SSD / Noir Avec SACOCHE Offert,"935,000 DT"
Pc portable ASUS Chromebook 14 CX1400CNA / Intel Celeron N3350 / 8 Go / Chrome ZTE / Silver,"939,000 DT"
"Pc Portable DELL Vostro 3520 / Écran 15,6"" HD / 4 Go / Noir Avec SACOCHE Offert","939,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 8 Go / 256 Go SSD / Windows 11 pro / Noir,"945,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 8 Go / 512 Go SSD / Noir,"959,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 20 Go / 256 Go SSD / Noir,"965,000 DT"
"PC PORTABLE LENOVO 15.6"" HD IP1 R3-7320U / 8GB 512SSD /  WINDOWS 11 / GRIS","969,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 20 Go / 256 Go SSD / Noir Avec SACOCHE Offert,"979,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 12 Go / 512 Go SSD / Noir,"979,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 12 Go / 256 Go SSD / Windows 11 pro / Noir,"985,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 8 Go / Noir,"1 005,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 8 Go / 512 Go SSD / Noir Avec SACOCHE Offert,"1 009,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 16 Go / 512 Go SSD / Noir,"1 009,000 DT"
Pc Portable Lenovo V15 G3 IAP / I3 12 ème gén  / 8 Go + Sacoche T210 Offerte,"1 015,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 8 Go / Noir Avec SACOCHE Offert,"1 015,000 DT"
Pc Portable HP 15-fd0030nk / 32 Go / Windows 11 / Gris,"1 019,000 DT"
Pc Portable Lenovo IdeaPad Slim 3 15IRU8 / i3-1305U / 8 Go / Gris / Avec Sacoche Lenovo Offerte,"1 019,000 DT"
Pc Portable Lenovo IdeaPad 3 15IAU7 / i3-1215U / 8 Go / 512 Go SSD / Windows 11 / Bleu + Sacoche Lenovo Offerte,"1 019,000 DT"
Pc Portable Lenovo IdeaPad 1 15IAU7 / i3-1215U / 8 Go / Gris / Avec Sac Lenovo Offert,"1 019,000 DT"
Pc Portable Lenovo IdeaPad 3 15IAU7 / i3-1215U / 8 Go / 512 Go SSD / Windows 11 / Gris + Sacoche Lenovo Offerte,"1 019,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 12 Go / 512 Go SSD / Noir Avec SACOCHE Offert,"1 029,000 DT"
Pc Portable HP 15-FD0028NK / 32 Go / Gold / Windows 11,"1 029,000 DT"
Pc Portable HP 15-fd0029nk / Intel N100 / 32 Go / Windows 11 / Bleu,"1 038,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 12 Go / Noir,"1 039,000 DT"
Pc Portable Lenovo IdeaPad 1 15IAU7 / i3-1215U / 12 Go / Gris / Avec Sac Lenovo Offert,"1 039,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 4 Go / Win11 / Silver,"1 049,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 4 Go / Win11 / Bleu,"1 049,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 12 Go / Noir Avec SACOCHE Offerte,"1 049,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 24 Go / 512 Go SSD / Noir,"1 055,000 DT"
Pc Portable Lenovo V15 G3 IAP / I3 12 ème gén  / 12 Go + Sacoche T210 Offerte,"1 055,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 4 Go / Win11 / Silver Avec SACOCHE Offerte,"1 055,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 8 Go / 512 Go SSD /Windows 11 pro /Noir,"1 059,000 DT"
Pc Portable HP 15-fd0029nk / Intel N100 / 32 Go / Windows 11 / Bleu  + Sac à dos HP Offert,"1 059,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 16 Go / 512 Go SSD / Noir Avec SACOCHE Offert,"1 065,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 8 Go / Win11 / Bleu,"1 069,000 DT"
Pc Portable Lenovo IdeaPad 1 15IAU7 / i3-1215U / 24 Go / Gris / Avec Sac Lenovo Offert,"1 069,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 8 Go / Win11 / Silver,"1 069,000 DT"
Pc Portable Lenovo IdeaPad 1 15IAU7 / i3-1215U / 16 Go / Gris / Avec Sac Lenovo Offert,"1 079,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 16 Go / Windows 11 / Noir,"1 084,000 DT"
Pc Portable Lenovo IdeaPad Slim 3 15IRU8 / i3-1305U / 8 Go / Windows 11 Pro / Gris / Avec Sacoche Lenovo Offerte,"1 089,000 DT"
PC PORTABLE LENOVO V15 I3-1215U 8G 512GSSD +  Sacoche  Offerte,"1 089,000 DT"
"PC PORTABLE DELL VOSTRO I3-1215U 8G 512SSD 15.6"" Windows 11","1 091,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3-1315U / 8 Go / 256 Go SSD / Windows 11 / Bleu,"1 099,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 8 Go / Win11 / Silver,"1 099,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 8 Go / Win11 / Silver + Cadeau surprise,"1 099,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3-1315U / 8 Go / 256 Go SSD / Windows 11 / Bleu + Cadeau surprise,"1 099,000 DT"
Pc Portable Lenovo IdeaPad 3 15IAU7 / i3-1215U / 16 Go / 512 Go SSD / Windows 11 / Bleu + Sacoche Lenovo Offerte,"1 099,000 DT"
PC PORTABLE LENOVO V15 / I3-1215U / 12 Go / 512 Go SSD +  Sacoche  Offerte,"1 109,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 12 Go / Win11 / Bleu,"1 109,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 32 Go / 512 Go SSD / Noir,"1 109,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 12 Go / Win11 / Silver,"1 109,000 DT"
Pc Portable Lenovo V15 G3 IAP / i3-1215U / 16 Go / 512 Go SSD / Windows 11 Pro / Noir Avec Sacoche + Souris Lenovo,"1 109,000 DT"
Pc Portable HP 15-FD0056NK / i3-N305 / 8 Go / 256 Go SSD / Gold,"1 109,000 DT"
Pc Portable HP 15-FD0060NK / i3-N305 / 8 Go / 256Go SSD / Silver,"1 109,000 DT"
Pc Portable HP 15-FD0057NK / i3-N305 / 8 Go / 256SSD /  Bleu,"1 109,000 DT"
Pc Portable DELL Vostro 3530 / i3-1305U / 8 Go / Noir,"1 109,000 DT"
Pc Portable Lenovo IdeaPad 1 15IAU7 / i3-1215U / 24 Go / Gris / Avec Sac Lenovo Offert,"1 119,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 12 Go / Win11 / Bleu,"1 119,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 12 Go / Win11 / Bleu+ Cadeau surprise,"1 119,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 12 Go / Win11 / Silver  + Cadeau surprise,"1 119,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 12 Go / Win11 / Silver,"1 119,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 12 Go / 512 Go SSD /  Windows 11 pro / Noir,"1 119,000 DT"
Pc Portable DELL Vostro 3530 / i3-1305U / 8 Go / Noir Avec SACOCHE Offerte,"1 119,000 DT"
Pc portable Asus ExpertBook B2 B2502CBA / I3-1215U /  8Go / 512Go SSD / Windows 11 / Bleu,"1 129,000 DT"
Pc Portable HP 15-FC0030NK / Ryzen 3 7320U / 8 Go / Windows 11 / Gold,"1 129,000 DT"
Pc portable ASUS ASUS Chromebook 15 CX1500CKA / Intel Pentium Silver N6000 / 8 Go / Chrome ZTE / Silver,"1 129,000 DT"
Pc Portable Lenovo V15 G3 IAP / i3-1215U / 24 Go / 512 Go SSD / Windows 11 Pro / Noir Avec Sacoche + Souris Lenovo,"1 129,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 12 Go / Noir,"1 130,000 DT"
Pc Portable Lenovo IdeaPad 3 15IAU7 / i3-1215U / 24 Go / 512 Go SSD / Windows 11 / Bleu + Sacoche Lenovo Offerte,"1 139,000 DT"
Pc Portable DELL Vostro 3530 / i3-1305U / 12 Go / Noir,"1 139,000 DT"
Pc Portable HP 15-FC0030NK / Ryzen 3 7320U / 8 Go / Windows 11 / Gold,"1 139,000 DT"
Pc Portable DELL Vostro 3530 / i3-1305U / 12 Go / Noir Avec SACOCHE Offerte,"1 149,000 DT"
PC PORTABLE LENOVO V15 I3-1215U  / 8G 512GSSD /   Windows 11 Pro + Sacoche  Offerte,"1 149,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 20 Go / Win11 / Bleu,"1 149,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 20 Go / Win11 / Silver,"1 149,000 DT"
PC PORTABLE LENOVO V15 / I3-1215U / 16 Go / 512 Go SSD +  Sacoche  Offerte,"1 149,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 16 Go / Win11 / Silver + Cadeau surprise,"1 159,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 16 Go / Win11 / Silver,"1 159,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 8 Go / Win11 / Silver  Avec SACOCHE Offerte,"1 159,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 16 Go / Win11 / Bleu + Cadeau surprise,"1 159,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 8 Go / Win11 / Bleu Avec SACOCHE Offerte,"1 159,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 16 Go / 512 Go SSD / WINDOWS 11 PROFESSIONNEL / Noir,"1 159,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 16 Go / Win11 / Bleu,"1 159,000 DT"
Pc Portable HP 15-fd0053nk / i3-N305 / 8 Go / 512 Go SSD / Silver,"1 169,000 DT"
Pc Portable HP 15-fd0055nk / i3-N305 / 8 Go / 512 Go SSD / Noir,"1 169,000 DT"
Pc Portable DELL Vostro 3530 / i3-1305U / 16 Go / Noir,"1 169,000 DT"
PC PORTABLE LENOVO V15 / I3-1215U / 12 Go / 512 Go SSD +  Sacoche  Offerte /  WINDOWS 11Pro,"1 169,000 DT"
Pc Portable HP 15-fd0051nk / i3-N305 / 8 Go / 512 Go SSD / Gold,"1 169,000 DT"
Pc Portable DELL Vostro 3530 / i3-1305U / 16 Go / Noir Avec SACOCHE Offerte,"1 179,000 DT"
Pc portable Asus ExpertBook B2 B2502CBA / I3-1215U /  16Go / 512Go SSD / Windows 11 / Bleu,"1 189,000 DT"
PC PORTABLE LENOVO V15 / I3-1215U / 24 Go / 512 Go SSD +  Sacoche  Offerte,"1 189,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 24 Go / 512 Go SSD /  Windows 11 pro /Noir,"1 199,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 24 Go / Win11 / Silver + Cadeau surprise,"1 199,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 24 Go / Win11 / Bleu,"1 199,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 24 Go / Win11 / Bleu + Cadeau surprise,"1 199,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 24 Go / Win11 / Silver,"1 199,000 DT"
Pc Portable DELL Vostro 3530 / i3-1305U / 24 Go / Noir,"1 209,000 DT"
PC PORTABLE LENOVO V15 / I3-1215U / 16 Go / 512 Go SSD +  Sacoche  Offerte / WINDOWS 11Pro,"1 209,000 DT"
Pc Portable DELL Vostro 3530 / i3-1305U / 24 Go / Noir Avec SACOCHE Offerte,"1 219,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 16 Go / 512 Go SSD / Noir,"1 219,000 DT"
Pc portable Asus ExpertBook B2 B2502CBA / I3-1215U /  24 Go / 512Go SSD / Windows 11 / Bleu,"1 229,000 DT"
Pc Portable HP 15-fd0055nk / i3-N305 / 16 Go / 512 Go SSD / Noir,"1 229,000 DT"
Pc Portable HP 15-fd0053nk / i3-N305 / 8 Go / 512 Go SSD / WINDOWS 11 / Silver,"1 229,000 DT"
Pc Portable HP 15-fd0053nk / i3-N305 / 16 Go / 512 Go SSD / Silver,"1 229,000 DT"
Pc Portable HP 15-fd0055nk / i3-N305 / 8 Go / 512 Go SSD / Noir / Windows 11 Pro,"1 229,000 DT"
Pc Portable HP 15-fd0051nk / i3-N305 / 16 Go / 512 Go SSD / Gold,"1 229,000 DT"
Pc Portable HP 15-fd0051nk / i3-N305 / 8 Go / 512 Go SSD / Gold / Windows 11 Pro,"1 229,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 20 Go / Win11 / Bleu  Avec SACOCHE Offerte,"1 239,000 DT"
Pc Portable Lenovo V15 G4 AMN / Ryzen 5 7520U / 8 Go / 512 Go SSD / Noir,"1 239,000 DT"
Pc Portable HP15-FD0027NK / i3-N305 / 8 Go / Windows 11 / Gris,"1 245,000 DT"
Pc Portable HP15-FD0026NK / i3-N305 / 8 Go / Windows 11 / Bleu,"1 245,000 DT"
PC PORTABLE LENOVO V15 / I3-1215U / 24 Go / 512 Go SSD +  Sacoche  Offerte / WINDOWS 11Pro,"1 249,000 DT"
Pc Portable DELL Vostro 3520 / i3-1215U / 32 Go / 512 Go SSD / Windows 11 Pro / Noir Avec SACOCHE Offert,"1 259,000 DT"
Pc Portable HP15-FD0026NK / i3-N305 / 8 Go / Windows 11 / Bleu +  SAC À DOS HP OFFERT,"1 269,000 DT"
Pc Portable HP15-FD0027NK / i3-N305 / 8 Go / Windows 11 / Gris  + Sac à dos HP Offert,"1 269,000 DT"
Pc Portable DELL Vostro 3530 / i3-1305U / 32 Go / Noir,"1 279,000 DT"
Pc Portable DELL Vostro 3520 / i5-1235U / 8 Go / 256 Go SSD / WINDOWS 11 PRO / Noir,"1 279,000 DT"
Pc Portable HP 15-fc0018nk / Ryzen 3 7320U / 8 Go / Bleu,"1 279,000 DT"
Pc portable Asus ExpertBook B2 B2502CBA / I3-1215U /  32 Go / 512Go SSD / Windows 11 / Bleu,"1 284,000 DT"
Pc Portable HP 15-fd0053nk / i3-N305 / 16 Go / 512 Go SSD / WINDOWS 11 / Silver,"1 289,000 DT"
Pc Portable DELL Vostro 3530 / i3-1305U / 32 Go / Noir Avec SACOCHE Offerte,"1 289,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3-1315U / 8 Go / 256 Go SSD / Windows 11 / Bleu   Avec Imprimante À Réservoir Intégré Couleur Epson EcoTank L121,"1 289,000 DT"
Pc Portable HP 15-fc0018nk / Ryzen 3 7320U / 8 Go / Bleu AVEC SACOCHE OFFERTE,"1 289,000 DT"
Pc Portable HP 15-fd0055nk / i3-N305 / 16 Go / 512 Go SSD / Noir / Windows 11 Pro,"1 289,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3-1315U / 8 Go / 256 Go SSD / Windows 11 / Silver Avec Imprimante À Réservoir Intégré Couleur Epson EcoTank L121,"1 289,000 DT"
Pc Portable HP15-FD0026NK / i3-N305 / 16 Go / Windows 11 / Bleu,"1 295,000 DT"
Pc Portable HP15-FD0027NK / i3-N305 / 16 Go / Windows 11 / Gris,"1 295,000 DT"
Pc Portable DELL Vostro 3520 / i5-1235U / 16 Go / 256 Go SSD / Noir,"1 299,000 DT"
Pc Portable Lenovo V15 G4 AMN / Ryzen 5 7520U / 8 Go / 512 Go SSD / Noir / WINDOWS 11,"1 299,000 DT"
Pc Portable DELL VOSTRO 3520 / i5-1235U / 8 Go / 512 Go SSD / Noir,"1 299,000 DT"
PC Portable Lenovo IdeaPad 1 15ALC7 / Ryzen 5 5500U / 8 Go / 512 Go SSD / Bleu / Windows 11 Avec Sacoche Lenovo Offerte,"1 299,000 DT"
PC Portable Lenovo IdeaPad Slim 3 15AMN8 / Ryzen 5 7520U / 8 Go / 512 Go SSD / Gris / Windows 11 Avec Sacoche Lenovo Offerte,"1 309,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3-1315U / 12 Go / 256 Go SSD / Windows 11 / Silver + Imprimante À Réservoir Intégré Couleur Epson L121,"1 309,000 DT"
Pc Portable Asus VivoBook 15 X1504 / i3-1315U / 12 Go / 256 Go SSD / Windows 11 / Bleu   Avec Imprimante À Réservoir Intégré Couleur Epson EcoTank L121,"1 309,000 DT"
PC Portable Lenovo IdeaPad Slim 3 15AMN8 / Ryzen 5 7520U / 8 Go / 512 Go SSD / Gris / Windows 11 Avec Sacoche Lenovo Offerte,"1 309,000 DT"
Pc Portable DELL Vostro 3520 / i5-1235U / 16 Go / 256 Go SSD / Noir AVEC SACOCHE OFFERTE,"1 309,000 DT"
Pc Portable HP 15-fc0018nk / Ryzen 3 7320U / 8 Go /Silver,"1 319,000 DT"
Pc Portable HP15-FD0027NK / i3-N305 / 16 Go / Windows 11 / Gris   + Sac à dos HP Offert,"1 319,000 DT"
Pc Portable HP15-FD0026NK / i3-N305 / 16 Go / Windows 11 / Bleu + SAC À DOS HP OFFERT,"1 319,000 DT"
